城市,主场,lat,lon
南京,南京奥体中心,32.00833912,118.7243558
苏州1,昆山奥体中心,31.37661567,121.0580138
苏州2,苏州市体育中心,31.29509599,120.576663
无锡1,江阴市体育中心,31.92478085,120.2921566
无锡2,宜兴市体育中心,31.35520917,119.8260008
常州,常州奥体中心,31.80672404,119.9779057
扬州,扬州体育公园,32.39324036,119.3611132
南通,海门体育中心,31.84323399,121.1388318
盐城,盐城奥体中心,33.31866616,120.1740709
宿迁,宿迁市奥体中心,34.00415749,118.283672
徐州,徐州市奥体中心,34.22616232,117.2879652
连云港,连云港市体育中心,34.65853271,119.2268189
淮安,淮安市体育中心,33.53951419,119.0748564
泰州,泰州市体育公园,32.42273217,119.9157925
镇江,镇江市体育会展中心,32.17669982,119.4176375
